Produto,Custo_Manufatura,Preco_Venda,Spread,Margem_Perc,Mercado_Venda,Sourcing_Insumos
Loios' Tears Leaf Extract,1.28,1.5,0.22,14.7,merrie-gael,Loios' Tears Leaves@inis_gallia-trecassis; Charcoal@merrie-shire; Water@ancien-armanhac
Leather Straps,1.28,1.5,0.22,14.7,inis_gallia-langres,Heavy Top Grain Leather@merrie-nene; Bronze Buckle@inis_gallia-nones; Glue@inis_gallia-aras
Fine Ceramic Mug,0.79,1.0,0.21,21.0,inis_gallia-nones,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Basic Fletching Tools,0.8,1.0,0.2,20.0,inis_gallia-vitry,Flint@ancien-salias; Sapwood@merrie-gael; Reed@kerys-bronyr
Iron Chopping Axe,0.8,1.0,0.2,20.0,inis_gallia-langres,Long Wood Stock@kerys-aven; Iron Axe Head@ancien-tursan; Coarse Leather Band@merrie-ardbog
Round Container,0.2,0.4,0.2,50.0,kerys-retz,Plank@inis_gallia-langres; Coarse Leather String@ancien-volvestre
Snowveil Boots,4.82,5.0,0.18,3.6,kerys-pladenn,Fine Leather@merrie-ardbog; Sewing Needles@kerys-dreger
Wash Bowl,0.85,1.0,0.15,14.7,ancien-armanhac,Plank@inis_gallia-langres; Copper Ingot@merrie-ardbog
Hunter's Hood of the Marked Prey,0.85,1.0,0.15,15.0,merrie-nene,Nubuck Leather@inis_gallia-morvan; Coarse Leather String@ancien-volvestre
Pilgrim's Helmcap,0.85,1.0,0.15,15.0,merrie-nene,Nubuck Leather@inis_gallia-morvan; Coarse Leather String@ancien-volvestre
Linseed Oil,0.6,0.75,0.15,20.0,kerys-aven,Flax Seeds@kerys-bronyr; Tallow@merrie-wiht
Pilgrim's Armbands,0.89,1.0,0.11,11.0,kerys-aven,Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan; Linen String@inis_gallia-langres
Pilgrim's Mitts,0.89,1.0,0.11,11.0,kerys-aven,Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan; Linen String@inis_gallia-langres
Rough Leather Straps,0.4,0.5,0.1,20.0,inis_gallia-langres,Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones
Bear Rug,0.1,0.2,0.1,50.0,inis_gallia-langres,Fur Leather@kerys-tremen
Tiny Stool,0.12,0.2,0.08,40.0,kerys-llydaw,Plank@inis_gallia-langres
Wooden Stool,0.14,0.2,0.06,30.0,kerys-llydaw,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog
Wooden Shelf,0.14,0.2,0.06,30.0,inis_gallia-vitry,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog
Small Wooden Window Flowerpot,0.36,0.4,0.04,10.0,inis_gallia-vitry,Plank@inis_gallia-langres; Periwinkle@kerys-bronyr; Iron Nails@merrie-wiht
Meat Strips,0.01,0.05,0.04,80.0,kerys-dreger,Meat Chunks@ancien-tursan
Curved Wooden Ladle,0.04,0.05,0.01,20.0,kerys-dreger,Plank@inis_gallia-langres
Ceramic Mug,0.79,0.8,0.01,1.3,inis_gallia-nones,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Sturdy Ceramic Mug,0.79,0.8,0.01,1.3,inis_gallia-nones,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Wooden Ladle,0.04,0.05,0.01,20.0,kerys-dreger,Plank@inis_gallia-langres
Grilled Meat Hunks,0.05,0.05,0.0,0.0,kerys-dreger,Meat Chunks@ancien-tursan
Iron Sheet,4.0,4.0,0.0,0.0,inis_gallia-langres,Iron Ingot@merrie-yarborn
Fur Leather,0.1,0.1,0.0,0.0,kerys-tremen,Rough Animal Hide@kerys-tremen
Iron Spike,57.5,57.5,0.0,0.0,inis_gallia-nones,Iron Bar@inis_gallia-nones
Wrought Iron Sheet,6.0,6.0,0.0,0.0,ancien-astarac,Wrought Iron Ingot@kerys-tremen
Long Wood Stock,0.1,0.1,0.0,0.0,kerys-aven,Sapwood@merrie-gael
Sewing Needles,0.04,0.02,-0.02,-100.0,kerys-dreger,Bone Fragments@kerys-aven
Ornamented Table,0.44,0.4,-0.04,-10.0,kerys-retz,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog
Pilgrim's Slippers,1.04,1.0,-0.04,-4.0,kerys-dreger,Dandelion@merrie-ardbog; Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan
Rough Animal Hide,0.15,0.1,-0.05,-50.0,kerys-tremen,Large Rough Animal Hide@ancien-tursan
Leather Pouch,1.06,1.0,-0.06,-6.0,ancien-volvestre,Inferior Leather@kerys-tremen; Coarse Leather String@ancien-volvestre
Small Window Flowerpot,0.28,0.2,-0.08,-40.0,ancien-volvestre,Plank@inis_gallia-langres; Datura's Seed Pod@ancien-tolosa; Iron Nails@merrie-wiht
Wooden Arrow,0.1,0.02,-0.08,-400.0,kerys-pladenn,Sapwood@merrie-gael
Wooden Table,0.28,0.2,-0.08,-40.0,inis_gallia-vitry,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog
Coarsewood Bow,1.1,1.0,-0.1,-10.0,kerys-pladenn,Coarse Bow Stave@kerys-pladenn; Boar Sinew@merrie-gael
Lard,0.12,0.02,-0.1,-500.0,kerys-dreger,Animal Fat@kerys-dolavon
Bronze Chopping Axe,1.1,1.0,-0.1,-10.0,kerys-retz,Long Wood Stock@kerys-aven; Bronze Axe Head@merrie-nene
Fine Coarsewood Bow,1.1,1.0,-0.1,-10.0,kerys-dolavon,Coarse Bow Stave@kerys-pladenn; Boar Sinew@merrie-gael
Bronze Battleaxe,1.1,1.0,-0.1,-10.0,kerys-vanes,Long Wood Stock@kerys-aven; Bronze Axe Head@merrie-nene
Suede Leather,0.5,0.4,-0.1,-25.0,kerys-tremen,Inferior Leather@kerys-tremen
Polished Bronze Chopping Axe,1.1,1.0,-0.1,-10.0,kerys-bronyr,Long Wood Stock@kerys-aven; Bronze Axe Head@merrie-nene
Langres Links,0.15,0.04,-0.11,-275.0,kerys-retz,Deer Intestines@ancien-tursan; Deer Shank Meat@ancien-tursan; Lard@kerys-dreger
Crimson Lys Tunic,25.12,25.0,-0.12,-0.5,kerys-bronyr,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Aurum Thread@inis_gallia-vitry
Plain Rye Bread,0.17,0.05,-0.12,-240.0,kerys-bronyr,Rye Dough@inis_gallia-vitry; Lard@kerys-dreger
Pilgrim's Hood,1.14,1.0,-0.14,-14.0,kerys-bronyr,Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan; Linen String@inis_gallia-langres
Simple Bed,2.15,2.0,-0.15,-7.5,merrie-nene,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog; Straw@kerys-bronyr; Coarse Linen Cloth@ancien-tursan
Coarse Leather Band,0.25,0.1,-0.15,-150.0,merrie-ardbog,Nubuck Leather@inis_gallia-morvan
Round Wicker Basket,0.4,0.25,-0.15,-60.0,kerys-dreger,Reed@kerys-bronyr
Wooden Beam,0.2,0.05,-0.15,-300.0,merrie-ardbog,Sapwood@merrie-gael
Simple Chest,2.16,2.0,-0.16,-8.0,kerys-bronyr,Plank@inis_gallia-langres; Rough Leather Straps@inis_gallia-langres
Barley Bread,0.22,0.05,-0.17,-340.0,kerys-bronyr,Barley Dough@kerys-tremen; Lard@kerys-dreger
Shepherd's Smock of Blooming Fold,1.17,1.0,-0.17,-17.0,kerys-llydaw,Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan; Wood Buttons@ancien-tursan
Lily of the Valley Extract,1.08,0.9,-0.18,-20.0,inis_gallia-langres,Lily of the Valley@kerys-pladenn; Charcoal@merrie-shire; Water@ancien-armanhac
Plank,0.2,0.02,-0.18,-900.0,inis_gallia-langres,Sapwood@merrie-gael
Garden Wheelbarrow,2.18,2.0,-0.18,-9.0,kerys-tremen,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog; Bronze Bar@inis_gallia-aras
Nubuck Leather,0.45,0.25,-0.2,-80.0,inis_gallia-morvan,Rawhide@inis_gallia-langres
Long Fine Wood Stock,0.4,0.2,-0.2,-100.0,kerys-llydaw,Heartwood@inis_gallia-langres
Simple Roast,0.25,0.05,-0.2,-400.0,kerys-dreger,Meat Chunks@ancien-tursan; Tallow@merrie-wiht
Pilgrim's Bracers II,2.2,2.0,-0.2,-10.0,kerys-dolavon,Suede Leather@kerys-tremen; Rough Leather Straps@inis_gallia-langres; Quilted Linen Padding@inis_gallia-nones
Bronze Sheet,2.0,1.8,-0.2,-11.1,inis_gallia-trecassis,Bronze Ingot@ancien-volvestre
Longbow,2.2,2.0,-0.2,-10.0,kerys-aven,Rough Bow Stave@kerys-pladenn; Boar Sinew@merrie-gael; Coarse Leather Band@merrie-ardbog
Attuned Bronze Battleaxe,1.22,1.0,-0.22,-22.0,merrie-gael,Angelica@inis_gallia-nones; Long Wood Stock@kerys-aven; Bronze Axe Head@merrie-nene
Charcoal,0.31,0.09,-0.22,-244.4,merrie-shire,Plank@inis_gallia-langres; Charcoal@merrie-shire; Resin@merrie-yarborn
Coarse Leather String,0.25,0.02,-0.23,-1150.0,ancien-volvestre,Nubuck Leather@inis_gallia-morvan
Plain Oat Bread,0.28,0.05,-0.23,-460.0,kerys-dreger,Oat Dough@kerys-tremen; Tallow@merrie-wiht
Clay,0.31,0.05,-0.26,-520.0,merrie-yarborn,Plank@inis_gallia-langres; Charcoal@merrie-shire; Resin@merrie-yarborn
Bronze Ingot,1.3,1.0,-0.3,-30.0,ancien-volvestre,Tin Ore@kerys-dolavon; Copper Ore@ancien-salias; Sapwood@merrie-gael
Coarse Bow Stave,0.4,0.1,-0.3,-300.0,kerys-pladenn,Long Wood Stock@kerys-aven; Resin@merrie-yarborn
Tiny Vial,0.5,0.2,-0.3,-150.0,ancien-astarac,Rough Glass@inis_gallia-langres
Pilgrim's Tunic,1.34,1.0,-0.34,-34.0,kerys-aven,Plantago@ancien-maremna; Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan; Linen String@inis_gallia-langres
Decorated Chair,0.76,0.4,-0.36,-90.0,kerys-llydaw,Fine Wooden Plank@ancien-tursan; Wrought Iron Nails@kerys-llydaw
Crown Beard Extract,0.98,0.6,-0.38,-63.3,ancien-astarac,Crown Beard@ancien-lavedan; Charcoal@merrie-shire; Water@ancien-armanhac
Fatty Boar Sausage,0.45,0.06,-0.39,-650.0,kerys-dolavon,Deer Intestines@ancien-tursan; Boar Shank Meat@merrie-ardbog; Lard@kerys-dreger; Thyme@inis_gallia-nones
Skullcap Extract,1.93,1.5,-0.43,-28.7,inis_gallia-langres,Skullcap@kerys-tremen; Charcoal@merrie-shire; Water@ancien-armanhac
Box Chair,0.64,0.2,-0.44,-220.0,kerys-aven,Plank@inis_gallia-langres; Long Wood Stock@kerys-aven
Weak Mead,0.5,0.05,-0.45,-900.0,inis_gallia-javerdus,Honey@kerys-retz; Weak Mead Base@ancien-volvestre
Simple Wooden Table,0.72,0.25,-0.47,-188.0,ancien-maremna,Plank@inis_gallia-langres; Long Wood Stock@kerys-aven
Castor Extract,0.98,0.5,-0.48,-96.0,kerys-pladenn,Castor Plant@ancien-lavedan; Charcoal@merrie-shire; Water@ancien-armanhac
Lavender Extract,0.98,0.5,-0.48,-96.0,inis_gallia-langres,Lavender@ancien-lavedan; Charcoal@merrie-shire; Water@ancien-armanhac
Golden Poppy Extract,1.48,1.0,-0.48,-48.0,kerys-aven,Golden Poppy@inis_gallia-javerdus; Charcoal@merrie-shire; Water@ancien-armanhac
Crane Flower Extract,0.98,0.5,-0.48,-96.0,kerys-pladenn,Crane Flower@ancien-lavedan; Charcoal@merrie-shire; Water@ancien-armanhac
Tall Ceramic Jug,1.48,1.0,-0.48,-48.0,kerys-pladenn,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Small Ceramic Bowl,0.89,0.4,-0.49,-122.5,inis_gallia-vitry,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Rough Onyx Ring,2.5,2.0,-0.5,-25.0,inis_gallia-vitry,Bronze Ingot@ancien-volvestre; Onyx@kerys-aven
Lime,0.6,0.1,-0.5,-500.0,inis_gallia-morvan,Limestone@merrie-nene; Sapwood@merrie-gael
Flinthead Arrow,0.56,0.04,-0.52,-1300.0,kerys-retz,Long Wood Stock@kerys-aven; Flint@ancien-salias
Leather Handles,0.6,0.08,-0.52,-650.0,ancien-tolosa,Suede Leather@kerys-tremen; Boar Sinew@merrie-gael
Small Stone Window Flowerpot,0.92,0.4,-0.52,-130.0,merrie-down,Limestone@merrie-nene; Periwinkle@kerys-bronyr; Garlic@kerys-pladenn
Triple Band Bronze Amber Ring,2.54,2.0,-0.54,-26.9,merrie-ulaid,Bronze Ingot@ancien-volvestre; Amber@inis_gallia-aras
Small Vial,0.75,0.2,-0.55,-275.0,inis_gallia-aras,Rough Glass@inis_gallia-langres
Cartwheel Chandelier,1.58,1.0,-0.58,-58.0,ancien-armanhac,Plank@inis_gallia-langres; Copper Ingot@merrie-ardbog; Wooden Beam@merrie-ardbog; Beeswax@ancien-tursan
Pilgrim's Gauntlets II,3.58,3.0,-0.58,-19.2,merrie-yarborn,Iron Wire@ancien-armanhac; Coarse Linen Cloth@ancien-tursan
Bronze Tipped Arrow,0.6,0.02,-0.58,-2900.0,merrie-down,Long Wood Stock@kerys-aven; Bronze Arrowhead@kerys-ewyas
Rough Leather Plate,1.2,0.6,-0.6,-100.0,inis_gallia-aras,Heavy Top Grain Leather@merrie-nene; Glue@inis_gallia-aras
Pilgrim's Helmcap II,2.6,2.0,-0.6,-30.0,kerys-dolavon,Suede Leather@kerys-tremen; Quilted Linen Padding@inis_gallia-nones; Linen String@inis_gallia-langres
Wicker Basket,0.8,0.2,-0.6,-300.0,merrie-gael,Reed@kerys-bronyr
Large Climbing Ivy,1.0,0.4,-0.6,-150.0,merrie-ulaid,Water@ancien-armanhac; White Grapes@ancien-tursan
Tall Climbing Ivy,1.0,0.4,-0.6,-150.0,merrie-wiht,Water@ancien-armanhac; White Grapes@ancien-tursan
Arching Ivy,1.0,0.4,-0.6,-150.0,merrie-wiht,Water@ancien-armanhac; White Grapes@ancien-tursan
Small Climbing Ivy,1.0,0.4,-0.6,-150.0,merrie-ulaid,Water@ancien-armanhac; White Grapes@ancien-tursan
Climbing Ivy,1.0,0.4,-0.6,-150.0,merrie-wiht,Water@ancien-armanhac; White Grapes@ancien-tursan
Wolfsbane Seed Extract,0.88,0.25,-0.63,-252.0,inis_gallia-langres,Wolfsbane's Seeds@ancien-armanhac; Charcoal@merrie-shire; Water@ancien-armanhac
Basic Stew,0.71,0.05,-0.66,-1325.7,kerys-bronyr,Meat Chunks@ancien-tursan; Yellow Onion@inis_gallia-nones; Deer Shank Meat@ancien-tursan; Penny Bun@merrie-down
Iron Tipped Arrow,0.7,0.04,-0.66,-1650.0,merrie-wiht,Long Wood Stock@kerys-aven; Iron Arrowhead@ancien-astarac
Dandelion Extract,1.18,0.5,-0.68,-136.0,kerys-pladenn,Dandelion@merrie-ardbog; Charcoal@merrie-shire; Water@ancien-armanhac
Pilgrim's Pants,1.7,1.0,-0.7,-70.0,merrie-gael,Nubuck Leather@inis_gallia-morvan; Coarse Leather String@ancien-volvestre
Fine Wood Beam,0.8,0.1,-0.7,-700.0,ancien-tursan,Heartwood@inis_gallia-langres
Basic Forge Parts,1.7,1.0,-0.7,-70.0,kerys-aven,Long Wood Stock@kerys-aven; Rough Animal Hide@kerys-tremen; Sapwood@merrie-gael; Gneiss@inis_gallia-vitry
Quilted Linen Padding,1.12,0.4,-0.72,-180.0,inis_gallia-nones,Coarse Linen Cloth@ancien-tursan; Linen String@inis_gallia-langres; Sewing Needles@kerys-dreger
Soapwort Extract,0.88,0.15,-0.73,-486.7,inis_gallia-langres,Soapwort@inis_gallia-trecassis; Charcoal@merrie-shire; Water@ancien-armanhac
Plantago Extract,1.18,0.45,-0.73,-162.2,merrie-down,Plantago@ancien-maremna; Charcoal@merrie-shire; Water@ancien-armanhac
Fly Agaric Extract,0.93,0.2,-0.73,-365.0,ancien-tolosa,Fly Agaric@ancien-volvestre; Charcoal@merrie-shire; Water@ancien-armanhac
Daisy Extract,0.78,0.05,-0.73,-1460.0,inis_gallia-trecassis,Daisy@inis_gallia-trecassis; Charcoal@merrie-shire; Water@ancien-armanhac
Sow Thistle Extract,0.78,0.05,-0.73,-1460.0,inis_gallia-trecassis,Sow Thistle@inis_gallia-trecassis; Charcoal@merrie-shire; Water@ancien-armanhac
High Mallow Extract,1.49,0.75,-0.74,-98.8,inis_gallia-langres,High Mallow@inis_gallia-ardennes; Charcoal@merrie-shire; Water@ancien-armanhac
Wood Buttons,0.8,0.04,-0.76,-1900.0,ancien-tursan,Sapwood@merrie-gael; Linen String@inis_gallia-langres
Fine Wooden Plank,0.8,0.04,-0.76,-1900.0,ancien-tursan,Heartwood@inis_gallia-langres
Blueberry Mead,0.9,0.1,-0.8,-800.0,kerys-bronyr,Honey@kerys-retz; Weak Mead Base@ancien-volvestre; Blueberry@inis_gallia-javerdus
Blackberry Syrup,0.9,0.1,-0.8,-800.0,ancien-tolosa,Water@ancien-armanhac; Blackberry@inis_gallia-javerdus
Pilgrim's Vambraces,1.8,1.0,-0.8,-80.0,kerys-aven,Bronze Sheet@inis_gallia-trecassis
Duskwrap Boots,4.82,4.0,-0.82,-20.5,kerys-bronyr,Fine Leather@merrie-ardbog; Sewing Needles@kerys-dreger
Blueberry Syrup,0.9,0.08,-0.82,-1025.0,merrie-shire,Water@ancien-armanhac; Blueberry@inis_gallia-javerdus
Periwinkle Extract,0.88,0.05,-0.83,-1660.0,inis_gallia-trecassis,Periwinkle@kerys-bronyr; Charcoal@merrie-shire; Water@ancien-armanhac
Datura Leaf Extract,0.88,0.05,-0.83,-1660.0,inis_gallia-trecassis,Datura's Leaves@inis_gallia-trecassis; Charcoal@merrie-shire; Water@ancien-armanhac
Clan Tabard,1.84,1.0,-0.84,-84.0,merrie-nene,Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan
Barley Water,0.9,0.05,-0.85,-1700.0,inis_gallia-ardennes,Water@ancien-armanhac; Barley Stalks@kerys-bronyr
Leather Band,0.95,0.1,-0.85,-850.0,kerys-tremen,Medium Top Grain Leather@merrie-yarborn
Farmhouse Cider,0.91,0.05,-0.86,-1720.0,kerys-bronyr,Blueberry Syrup@merrie-shire; Water@ancien-armanhac; Honey@kerys-retz
Rounded Shutter,5.86,5.0,-0.86,-17.2,ancien-armanhac,Plank@inis_gallia-langres; Wrought Iron Nails@kerys-llydaw; Iron Hinges@merrie-ulaid
Founders Coronet,1.87,1.0,-0.87,-86.7,merrie-yarborn,Copper Ingot@merrie-ardbog; Onyx@kerys-aven
Strawberry Syrup,0.9,0.02,-0.88,-4400.0,inis_gallia-ardennes,Water@ancien-armanhac; Strawberry@inis_gallia-javerdus
Large Fine Wooden Barrel,40.88,40.0,-0.88,-2.2,kerys-aven,Fine Wooden Plank@ancien-tursan; Iron Nails@merrie-wiht; Wrought Iron Bar@inis_gallia-langres
Homely Stew,0.99,0.1,-0.89,-892.9,merrie-wiht,Yellow Onion@inis_gallia-nones; Deer Neck Meat@ancien-lavedan; Enoki@ancien-gravas
Linen String,1.2,0.3,-0.9,-300.0,inis_gallia-langres,Flax Fiber@inis_gallia-morvan
Raisins,1.0,0.1,-0.9,-900.0,ancien-lavedan,White Grapes@ancien-tursan
Oat Dough,1.12,0.2,-0.92,-460.0,kerys-tremen,Oat Flour@merrie-ardbog; Yeast@ancien-astarac; Water@ancien-armanhac
Angelica Extract,0.98,0.05,-0.93,-1860.0,inis_gallia-trecassis,Angelica@inis_gallia-nones; Charcoal@merrie-shire; Water@ancien-armanhac
Meadowsweet Extract,0.98,0.05,-0.93,-1860.0,inis_gallia-trecassis,Meadowsweet@kerys-pladenn; Charcoal@merrie-shire; Water@ancien-armanhac
Datura Fruit Extract,0.98,0.05,-0.93,-1860.0,inis_gallia-trecassis,Datura Fruit@inis_gallia-langres; Charcoal@merrie-shire; Water@ancien-armanhac
Red Poppy Extract,1.18,0.25,-0.93,-372.0,kerys-aven,Red Poppy@kerys-aven; Charcoal@merrie-shire; Water@ancien-armanhac
Straw,1.0,0.05,-0.95,-1900.0,kerys-bronyr,Flax Fiber@inis_gallia-morvan
Fine Axe Handle,1.9,0.9375,-0.96,-102.7,inis_gallia-atigny,Long Fine Wood Stock@kerys-llydaw; Leather Band@kerys-tremen; Bronze Nails@kerys-aven
Raspberry Syrup,1.0,0.02,-0.98,-4900.0,inis_gallia-atigny,Water@ancien-armanhac; Raspberry@inis_gallia-trecassis
Wrought Iron Axe Head,36.0,35.0,-1.0,-2.9,merrie-ulaid,Wrought Iron Sheet@ancien-astarac; Wrought Iron Ingot@kerys-tremen
Leather Pads,1.2,0.2,-1.0,-500.0,ancien-lavedan,Heavy Top Grain Leather@merrie-nene; Glue@inis_gallia-aras
Small Silver Bracelet,3.0,2.0,-1.0,-50.0,kerys-dreger,Wrought Iron Ingot@kerys-tremen
Slender Silver Bracelet,4.0,3.0,-1.0,-33.3,ancien-lavedan,Silver Ingot@kerys-tremen
Fine Weapons Belt,2.0,1.0,-1.0,-100.0,kerys-aven,Leather Straps@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Silver Bracelet,3.0,2.0,-1.0,-50.0,kerys-dreger,Wrought Iron Ingot@kerys-tremen
Barley Dough,1.22,0.2,-1.02,-510.0,kerys-tremen,Barley Flour@inis_gallia-langres; Yeast@ancien-astarac; Water@ancien-armanhac
Basic Cooking Tools,2.04,1.0,-1.04,-104.0,ancien-salias,Bronze Sheet@inis_gallia-trecassis; Long Wood Stock@kerys-aven; Flint@ancien-salias
Leather String,1.15,0.1,-1.05,-1050.0,kerys-dolavon,Medium Top Grain Leather@merrie-yarborn; Boar Sinew@merrie-gael
Shire Gold,1.15,0.1,-1.05,-1050.0,kerys-tremen,Blueberry@inis_gallia-javerdus; Water@ancien-armanhac; Honey@kerys-retz
Hunter's Bow,6.05,5.0,-1.05,-21.0,kerys-pladenn,Bow Stave@kerys-pladenn; Boar Sinew@merrie-gael; Linseed Oil@kerys-aven; Coarse Leather Band@merrie-ardbog
Bronze Pickaxe,2.1,1.0,-1.1,-110.0,kerys-retz,Bronze Bar@inis_gallia-aras; Sapwood@merrie-gael
Polished Bronze Pickaxe,2.1,1.0,-1.1,-110.0,kerys-bronyr,Long Wood Stock@kerys-aven; Bronze Bar@inis_gallia-aras
Two-handed Bronze Spear,2.1,1.0,-1.1,-110.0,inis_gallia-vitry,Long Wood Stock@kerys-aven; Bronze Spike@kerys-dreger
Polished Bronze Skinning Knife,2.1,1.0,-1.1,-110.0,kerys-llydaw,Bronze Bar@inis_gallia-aras; Sapwood@merrie-gael
Bronze Skinning Knife,2.1,1.0,-1.1,-110.0,kerys-dreger,Bronze Bar@inis_gallia-aras; Sapwood@merrie-gael
Autumn Heat,1.15,0.05,-1.1,-2200.0,merrie-nene,Blackberry@inis_gallia-javerdus; Water@ancien-armanhac; Honey@kerys-retz
Basic Baking Tools,2.1,1.0,-1.1,-110.0,ancien-gravas,Long Wood Stock@kerys-aven; Bronze Sheet@inis_gallia-trecassis; Bronze Nails@kerys-aven
Bronze Handspear,2.1,1.0,-1.1,-110.0,merrie-nene,Long Wood Stock@kerys-aven; Bronze Spike@kerys-dreger
Tansy Extract,1.18,0.05,-1.13,-2260.0,inis_gallia-trecassis,Tansy@kerys-aven; Charcoal@merrie-shire; Water@ancien-armanhac
Alfalfa Extract,1.18,0.05,-1.13,-2260.0,inis_gallia-trecassis,Alfalfa@kerys-pladenn; Charcoal@merrie-shire; Water@ancien-armanhac
Fine Spear Shaft,1.9,0.75,-1.15,-153.3,merrie-shire,Long Fine Wood Stock@kerys-llydaw; Leather Band@kerys-tremen; Bronze Nails@kerys-aven
Glue,1.2,0.04,-1.16,-2900.0,inis_gallia-aras,Bone Fragments@kerys-aven; Water@ancien-armanhac
Small Cider,1.25,0.05,-1.2,-2400.0,kerys-dolavon,Raspberry@inis_gallia-trecassis; Water@ancien-armanhac; Honey@kerys-retz
Wool Yarn,2.0,0.8,-1.2,-150.0,ancien-tursan,Wool Fiber@merrie-ulaid
Axe Handle,1.7,0.5,-1.2,-240.0,ancien-tursan,Long Wood Stock@kerys-aven; Coarse Leather Band@merrie-ardbog; Bronze Nails@kerys-aven
Pilgrim's Gauntlets III,6.22,5.0,-1.22,-24.3,ancien-astarac,Iron Wire@ancien-armanhac; Stuffed Linen Padding@merrie-shire
Attuned Bronze Handspear,2.22,1.0,-1.22,-122.0,kerys-ewyas,Bee Balm@inis_gallia-nones; Long Wood Stock@kerys-aven; Bronze Spike@kerys-dreger
Barley and Rye Bread,1.28,0.05,-1.23,-2460.0,ancien-lavedan,Barley Dough@kerys-tremen; Rye Grain@merrie-shire; Tallow@merrie-wiht
Amber Barley Water,1.3,0.05,-1.25,-2500.0,inis_gallia-javerdus,Water@ancien-armanhac; Barley Stalks@kerys-bronyr; Blueberry@inis_gallia-javerdus
Pilgrim's Jerkin,2.26,1.0,-1.26,-126.0,kerys-llydaw,Plantago@ancien-maremna; Nubuck Leather@inis_gallia-morvan; Coarse Leather String@ancien-volvestre
Rye Dough,1.42,0.15,-1.27,-846.7,inis_gallia-vitry,Rye Flour@kerys-aven; Yeast@ancien-astarac; Water@ancien-armanhac
Rough Bow Stave,1.5,0.2,-1.3,-650.0,kerys-pladenn,Long Wood Stock@kerys-aven; Resin@merrie-yarborn; Beeswax@ancien-tursan
Basic Tailoring Tools,2.3,1.0,-1.3,-130.0,ancien-armanhac,Bone Fragments@kerys-aven; Flax Fiber@inis_gallia-morvan; Sapwood@merrie-gael
Bleak Boiled Veggies,1.35,0.05,-1.3,-2591.4,merrie-nene,Yellow Onion@inis_gallia-nones; Mustard@merrie-ulaid; Garlic@kerys-pladenn; Divine Mushroom@inis_gallia-jura
Death Cap Extract,1.93,0.55,-1.38,-250.9,merrie-ardbog,Deathcap@kerys-tremen; Charcoal@merrie-shire; Water@ancien-armanhac
Fine Fur,1.67,0.2857142857142857,-1.38,-483.3,kerys-aven,Animal Hide@inis_gallia-langres
Mountain Roast,1.5,0.1,-1.4,-1400.0,ancien-lavedan,Garlic@kerys-pladenn; Deer Shank Meat@ancien-tursan; Tallow@merrie-wiht
Small Beer,1.5,0.1,-1.4,-1400.0,kerys-dolavon,Weak Beer Base@ancien-volvestre
Woodsman Roast,1.5,0.1,-1.4,-1400.0,merrie-wiht,Garlic@kerys-pladenn; Boar Shank Meat@merrie-ardbog; Tallow@merrie-wiht
Amanita Regalis Extract,1.68,0.25,-1.43,-572.0,kerys-aven,Amanita Regalis@inis_gallia-trecassis; Charcoal@merrie-shire; Water@ancien-armanhac
Roasted Boar,1.5,0.05,-1.45,-2900.0,inis_gallia-ardennes,Thyme@inis_gallia-nones; Boar Flank Meat@merrie-shire; Tallow@merrie-wiht
Pilgrim's Helmcap IV,31.45,30.0,-1.45,-4.8,kerys-retz,Medium Top Grain Leather@merrie-yarborn; Wool Felt@kerys-aven; Cotton Cord@merrie-nene; Linseed Oil@kerys-aven
Springtime Stew,1.58,0.1,-1.48,-1480.0,merrie-down,Red Onion@ancien-tursan; Mustard@merrie-ulaid; Garlic@kerys-pladenn; Penny Bun@merrie-down; Lard@kerys-dreger
Onyx Bronze Ring,2.5,1.0,-1.5,-150.0,ancien-lavedan,Bronze Ingot@ancien-volvestre; Onyx@kerys-aven
